sampleid	faith_pd
1_0403_9699	41.86322025004
1_0410_9686	47.25611037017609
1_0410_9687	39.3447739524936
1_0410_9689	44.57174807961974
1_0410_9691	40.48668155298543
1_0410_9692	43.276659937899296
1_0410_9693	45.90609243329487
1_0410_9694	41.40107967381414
1_0410_9697	38.95656520942771
1_0410_9698	44.720057317498174
1_0410_9699	51.815456063884085
1_0415_9687	14.844568744797186
1_0415_9689	12.176565925580803
1_0415_9691	7.25655406866457
1_0415_9693	13.29191781930956
1_0415_9694	9.084388725175472
1_0415_9698	5.364045648520062
1_0415_9699	12.614802328060705
1_0415_9735	4.808752357863455
1_0415_9736	6.276329854462915
1_0415_9737	11.37215573946986
1_0418_9687	13.113638273829622
1_0418_9689	15.920686389547313
1_0418_9691	12.623369602498826
1_0418_9692	10.362100168044606
1_0418_9693	11.537394290958503
1_0418_9694	10.241202952959156
1_0418_9698	10.276020716405128
1_0418_9699	12.496321889281262
1_0418_9736	10.70819562686114
1_0418_9737	15.994951758178729
1_0421_9686	21.207070138569634
1_0421_9687	22.071828885041555
1_0421_9689	28.535887944063518
1_0421_9691	21.356457651945163
1_0421_9692	17.948021378547537
1_0421_9693	21.5331930186735
1_0421_9694	21.589419641166558
1_0421_9697	19.603396692648175
1_0421_9698	8.629529320652182
1_0421_9699	19.280214025192095
2_0425_9744	59.454625434956256
2_0425_9745	48.69120505928862
2_0425_9746	49.03298377987858
2_0425_9747	47.88567536960056
2_0425_9748	38.956214278401205
2_0425_9749	43.10399719096995
2_0425_9750	42.17519404290283
2_0425_9755	49.91636348576736
2_0425_9756	44.338229197236956
2_0425_9757	46.69723508052317
2_0425_9758	40.907717680710334
2_0430_9745	12.944875859790159
2_0430_9746	11.109619059244665
2_0430_9747	5.2140072178444825
2_0430_9748	10.417167045235828
2_0430_9749	10.764256897559221
2_0430_9750	8.183527084257832
2_0430_9755	7.016229843601025
2_0430_9756	10.145343432580376
2_0430_9757	10.937722720255806
2_0430_9758	7.452979893214888
2_0503_9745	14.739846914885675
2_0503_9746	15.494366620886296
2_0503_9747	15.757038667395307
2_0503_9748	14.216730593729608
2_0503_9749	15.981916245519983
2_0503_9750	10.646998875565544
2_0503_9755	10.667607104393142
2_0503_9756	14.98545723079593
2_0503_9757	11.8933160189668
2_0503_9758	14.966841392068318
2_0506_9741	44.02667736185083
2_0506_9746	13.20306328395651
2_0506_9758	10.484760893517887
3_0523_9831	34.63723878247271
3_0523_9832	33.8389970687731
3_0523_9835	30.048698240503484
3_0523_9836	31.980280129028415
3_0523_9837	33.88739321026594
3_0523_9838	34.38325886775965
3_0523_9839	31.52653166218488
3_0523_9840	34.26897168367208
3_0523_9841	35.134986459384265
3_0523_9842	38.72332474065939
3_0523_9843	37.33272052383262
3_0523_9844	32.989104296586675
3_0523_9845	36.798688748295774
3_0523_9846	31.837654432307716
3_0523_9847	35.20170733072405
3_0523_9848	31.563615512279398
3_0523_9859	33.04113765141133
33.9831.0528	8.353998024082387
33.9832.0528	7.630242943573364
33.9833.0528	9.735123386223279
33.9834.0528	14.90105432874708
33.9835.0528	9.114500611435801
33.9836.0528	6.086693633150617
33.9837.0528	7.391407549930591
33.9838.0528	12.94491101935597
33.9839.0528	13.487576737881568
33.9840.0528	12.689449454745784
33.9841.0528	14.46298823248668
33.9842.0528	10.069696862473165
33.9843.0528	11.468500403886821
33.9844.0528	13.187982161062223
33.9845.0528	8.418132225865747
33.9846.0528	18.84004586188803
33.9847.0528	9.232905665277201
33.9848.0528	17.67804144332854
33.9849.0528	11.407322651699076
33.9857.0528	12.57770697583851
34.9831.0531	12.810058784043065
34.9832.0531	7.878604666087028
34.9834.0531	11.804456654692956
34.9835.0531	9.797137495107961
34.9836.0531	9.720135052008686
34.9837.0531	8.309907097661096
34.9838.0531	5.430300361014417
34.9839.0531	8.233804628847508
34.9840.0531	7.943449360995771
34.9841.0531	9.189262032283978
34.9843.0531	7.3456910282608305
34.9844.0531	9.650375814757354
34.9845.0531	7.1767885936166635
34.9846.0531	9.767895504805722
34.9847.0531	7.304708176125871
34.9848.0531	10.566680467269748
34.9849.0531	7.166946294396155
34.9851.0531	7.613511269838227
41.9871.0530	43.51846802144871
41.9872.0530	49.11030892810447
41.9873.0530	57.830118995243026
41.9874.0530	50.05853007800283
41.9876.0530	60.843054373511336
41.9877.0530	58.04503245946455
41.9878.0530	61.96455049428812
41.9880.0530	46.16982079022216
41.9881.0530	52.176541623194396
41.9882.0530	46.67295898713576
41.9883.0530	55.493419950860755
41.9884.0530	51.15180013226319
41.9887.0530	47.41423709417336
41.9888.0530	37.69652737916806
