sampleid	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
1_0403_9699	-0.3686161311725546	-0.029457371441696092	-0.02628236320737107	0.14419762857933624	-0.07087141632537164	0.04599963532186239	0.020909479226682123	0.10107898617111828	0.0041166725115164195	0.0715518408470838
1_0410_9686	-0.4033916917527044	0.03320049176974507	-0.02280457941991747	0.030984700747775533	-0.02105076424783467	-0.04718837037150087	-0.0001995697070383471	-0.046621709289658295	-0.009451220899647197	-0.053433689848996116
1_0410_9687	-0.361248292803789	0.03622738636571463	0.01639478689921661	-0.01142234826292734	-0.004735635577000775	-0.031641007813302785	-0.05269734145089983	-0.054121687775206144	-0.024472573312012722	-0.061065504024626606
1_0410_9689	-0.40047503958150693	0.031205386627402236	-0.008472079136286956	0.0022291080707279682	-0.02012325183517619	-0.029997573331817767	-0.0472251560792713	-0.09175789400162747	-0.023582826588206093	-0.05103184126326516
1_0410_9691	-0.38174578059875447	0.03525469302503662	-0.016653148815925473	0.042162541881281324	-0.01760536433154715	-0.019478173460064665	-0.06088591175784848	-0.03405055467184084	-0.037616235027991406	-0.036814311341206836
1_0410_9692	-0.40543155477087933	0.03170507594363817	-0.02369874391277878	0.006908105126737587	-0.025182834185831966	-0.019619697742675225	-0.03247313529805347	-0.07855624431889048	-0.020380362704997417	-0.04396318914614877
1_0410_9693	-0.39279160318335876	0.03235515535238838	-0.024818641501303865	0.06477623197889817	-0.017254019582837673	-0.053177539222071524	-0.022840426745767035	-0.07433705658515437	-0.0436600740882486	-0.04064150808359625
1_0410_9694	-0.3730149875849816	0.027552498615234514	-0.0012908736438777798	-0.010710574042494344	-0.01820796559155864	-0.054293857540884005	0.036898820232614794	-0.059363684300330094	0.005205038104758816	-0.061327587766137545
1_0410_9697	-0.3663975547094748	0.07222800862631742	-0.00595222746676849	-0.015230448228380737	-0.0034099574331550586	-0.03727561013136911	-0.05926522494927034	-0.0638333343861794	-0.03402258962843331	-0.029589116482560216
1_0410_9698	-0.4034745109799871	0.011572506157889365	-0.012178566887116148	0.047667310143268055	-0.018750554809196147	-0.026863668203636146	-0.06366889473123775	-0.07829483469106506	-0.013253855421067327	-0.04862448132898494
1_0410_9699	-0.40235302340187845	-0.001907692015023506	-0.017727895108223306	0.08350916832680462	-0.01243901163658195	-0.045274190019569324	-0.005753747139986138	-0.02822479476208661	-0.015688677400805172	-0.04267923516179017
1_0415_9687	0.14927347792590429	0.25823837738179495	-0.012130170017455226	-0.03232226701074891	0.04377149724326004	0.10976958246765352	-0.11956940368747553	0.022861060973543974	-0.05572721558960206	-0.052863109746859406
1_0415_9689	0.20818417073684134	0.23117008018260415	0.09415705071112913	0.05865924562958958	-0.004694396313675263	0.17124595365739945	-0.03318420436401406	-0.03047012309347538	0.004469905408961372	-0.16168723176424935
1_0415_9691	0.32952363525912587	-0.0010078913783948885	-0.12540672639473924	0.04805533173133819	-0.1058080505902306	0.08885500672893074	-0.04347256355079668	-0.06822007657907249	0.05752356145334063	0.11491375413931526
1_0415_9693	0.14490945504851385	0.1112574139608409	0.1548658641974005	-0.04841895143503146	-0.07484486392243489	0.09089846799051374	-0.05385147467112805	0.022397190127731073	-0.09683202132655067	0.014682922453704254
1_0415_9694	0.27657844375635776	0.16143688742676351	0.08579368101991923	0.024653665683439123	-0.17101948397805541	0.06766308602217089	0.06999718533758065	-0.03980398548560794	-0.0856095127216156	0.0782378224572922
1_0415_9698	0.34615460877738347	-0.11934159180754206	-0.013708636002056712	0.16999445599969218	-0.13290396503764	0.01039521688688745	0.07197701059909319	-0.1799188928916138	-0.08608529764055453	0.02979156438718155
1_0415_9699	0.20928241522696966	0.27459685284487	-0.09936386166289313	0.039130449693271535	0.012221826809643621	0.13363226421712598	-0.0750873038721321	0.001653269957818571	0.0043202348919657374	-0.06266297353362614
1_0415_9735	0.34782224314073795	-0.13494466356366597	-0.04175829097797569	0.14367287723188618	-0.1831482251321694	-0.008479902775788799	0.08900443229719515	-0.18740046744363928	-0.11940729710899971	0.0009743684069900312
1_0415_9736	0.3165043262031385	-0.10266859696117173	0.02305814998245755	0.04226542849749626	-0.20775292590150893	-0.08971140195206422	0.08089761848498143	-0.06653306043069414	-0.19925282045260725	-0.036486807673268645
1_0415_9737	0.21401697099253617	0.29441361370945246	-0.012398383641217179	0.06507743576160119	-0.03544899401966621	0.17370805410621756	0.009059458536573431	-0.046721591578149216	-0.0591121981458289	-0.08348942620154652
1_0418_9687	0.19917454292692496	0.3014676939091047	-0.0673315163899229	0.04741967201643081	0.04027941115364588	0.08368868930800331	-0.03164368351458768	0.023403013836847966	0.03269721513679882	0.017024187780612335
1_0418_9689	0.08954652840667761	0.2934963713402979	0.012445542641856454	-0.11565009357700617	0.04814393947423729	7.387774305325046e-05	-0.026385097310273064	0.04054938664133135	-0.03398547154889661	-0.06785929554915004
1_0418_9691	0.2334305728358594	0.20476960803932648	-0.05557930399447027	-0.001728263787311803	-0.028101215452351037	0.018648903124428087	0.026447189946826797	0.08041518423853382	-0.002876991765652679	0.06271573254007501
1_0418_9692	0.22265138573356263	0.1798766156281615	0.12610078337379563	-0.09613837922932161	-0.08945708733961032	-0.11310133843735265	0.18898067119179737	0.05422698069935903	0.06081838712023275	0.0030834537709353254
1_0418_9693	0.23623983339968457	0.23551707719174744	-0.013234691840274796	0.009132994954415441	-0.03425681560048449	-0.014722089424309389	-0.01572298133042996	0.046582923410340364	0.13951849994079804	-0.11242116309049381
1_0418_9694	0.26374580536022224	0.20243025163653744	-0.044173281242909576	0.03698129041790088	-0.06007815251133191	0.017466987512457052	0.03589554355422322	0.01899798806688058	0.059463080985483786	0.1379150967599074
1_0418_9698	0.2600370869566575	0.1406435754736525	0.10925950686961618	0.03398770688520393	-0.10066857365264362	0.13919425696221055	0.02751201806349573	-0.027684971321334278	-0.06583106031794334	0.0024925174463703275
1_0418_9699	0.21818167405765784	0.28548381921779076	-0.08795746143721812	0.06713857714605737	0.05038599359564087	0.11476147864172945	-0.040588682483493836	0.004002554608683074	0.06668400614228268	-0.01891327256826643
1_0418_9736	0.20961468639193276	0.09879689440958218	0.13769174714899776	-0.14035410920298858	-0.12490406971288813	-0.025146266377096688	0.09307430373813123	0.024980557338597352	-0.15581684881689095	0.15366441604342773
1_0418_9737	0.109769821007302	0.26387827855313933	0.11313140585935016	-0.09013853108058889	-0.0004810840907049134	0.035368441556784334	0.02398526508407324	0.034119732880931924	-0.08466689599456532	-0.09028971470231381
1_0421_9686	-0.02334737186022349	0.28500542681099356	0.01581887508815618	-0.09461111901188655	0.09834714085239801	-0.1243765264503977	-0.0022037044484595953	0.0221541880848039	-0.03902350406564323	0.04547133051965922
1_0421_9687	-0.06789729639020059	0.2897412112414999	0.002348886373166301	-0.07619341684184715	0.09242880908291559	-0.1417021436619657	-0.0013075739256288132	-0.0008518129856842848	-0.032910336130276004	0.05176494542817012
1_0421_9689	-0.16905997495292568	0.22103427759555017	0.006412975683349074	-0.07126442893619292	0.08725075301318276	-0.1470624076281087	-0.005178295249731072	-0.023596454360553642	-0.05257259577900183	0.02458220141915529
1_0421_9691	-0.07201127408840823	0.28278178637029366	0.003773317489922512	-0.05479991596194056	0.10710425310042584	-0.1688489149414115	0.013953484337526221	-0.0313474359530148	0.01526525620836883	0.05238109425442344
1_0421_9692	0.015607507896662482	0.3292713922312778	-0.027625283595638348	-0.06374917653835394	0.1044641384951776	-0.08330568375817425	0.02166971688186713	-0.010065163432772544	-0.009983989805206364	0.1010957781539111
1_0421_9693	-0.06592594283227579	0.27744471755434214	0.011654198052900943	-0.08487991272197376	0.09066146686837542	-0.1827007490805087	0.012059047029680421	0.005170656930081335	0.0025240787016203776	0.016897410411918907
1_0421_9694	-0.06594680216137293	0.27251177670231824	0.011368666750856286	-0.0801172407915709	0.0883372820936295	-0.17383516204148797	0.010470809930949588	-0.0005573629420724635	0.007669325228100332	0.012173518497998297
1_0421_9697	-0.018559889589101163	0.3080028598632589	-0.0170417893728076	-0.09233127034477939	0.11112751359521061	-0.09651974999965503	0.019872751930166816	-0.005447996311152312	-0.02516033484212307	0.0941798438173601
1_0421_9698	0.2771730314088924	0.029710029394316693	-0.04174428389863305	-0.10659894797501718	-0.04705892760490825	-0.12713026913157438	0.06741028687249294	0.06649050085444239	0.18276192853719073	0.11693880280596027
1_0421_9699	-0.03358819994853061	0.30573031250022753	-0.0657555419406249	-0.05167511582514674	0.1111846752346883	-0.13416837118521308	0.04096484405143016	0.009488821998036967	0.031055878842029233	0.08568536073414622
2_0425_9744	-0.4149236908062824	-0.05540476512554467	-0.03650551873358513	0.21212182538938992	-0.05511089276544208	0.03772372780212263	0.04282361169110004	0.1071190870145596	0.008516660955114767	0.035960508484059316
2_0425_9745	-0.4070807188908131	0.027095129909601466	-0.026960767596872354	0.059018495033319913	-0.017271299138892922	-0.0640986767361446	-0.021992501387229982	-0.051462165970572286	-0.021043048154211486	-0.04739913164335788
2_0425_9746	-0.42707471619550047	0.015272168421988594	-0.021149560805746315	0.04998440939377168	-0.0299500183822776	-0.05406266793124106	-0.027485755697254186	-0.08332469153805773	-0.02772576020315524	-0.0340144212211089
2_0425_9747	-0.41710095589934193	0.023294376541071048	-0.018955719349545364	0.0523075618196193	-0.02786464605867414	-0.03979378873098117	-0.0281504753328735	-0.05845565990525343	-0.021603919280306718	-0.037722141836192206
2_0425_9748	-0.3627771412115121	0.07252649510657265	-0.009571224378683527	0.004689912475607035	0.003689022471618837	-0.04972491425454287	-0.05456946294531709	-0.06398076428440015	-0.046882914674256176	-0.03044523113392298
2_0425_9749	-0.39142869378291617	0.04093629392253386	-0.0008497526304643926	0.02162086863099404	-0.010533419557157859	-0.08662404965922033	-0.025513818965071423	-0.042690552678121226	-0.020876979906451033	-0.03486533736872037
2_0425_9750	-0.3763621049005113	0.021202893587855477	0.0038896123164951666	0.040470450952428	-0.007141776502193864	-0.07221734546218764	-0.01675448724417781	-0.08733607519703815	-0.03837429847276713	-0.032787585996541406
2_0425_9755	-0.4036122528631275	-0.008659423432667282	-0.009995605649717135	0.053764730913735174	-0.033066612782039095	-0.028341861472357482	-0.02689632476142744	-0.049066431553097416	-0.02880480405551589	-0.05736547987266793
2_0425_9756	-0.39177221466419737	0.033834789491637624	-0.019701753200909056	0.030160187933701878	-0.02030917283773642	-0.025957560303522663	-0.01809674438240429	-0.04983006353291138	-0.04161551280678139	-0.04744782886395618
2_0425_9757	-0.4083770891627111	0.005709850079482345	-0.0059994155653806365	0.03223390222733923	-0.02707201183492583	-0.037930728666744525	-0.028039908080563936	-0.06594708176983245	-0.031749088839100555	-0.04292212450499514
2_0425_9758	-0.3838330243098257	0.025318912461228693	0.006106176738350826	0.014658304924245533	-0.03256646725174285	-0.049372439702466464	-0.04445899528825644	-0.02977884252765157	-0.0323962855384022	-0.03243177924856743
2_0430_9745	0.17894348601234758	0.25019180240127475	0.007185335134825686	0.046517319097845296	-0.01193502123854195	0.20224540383376982	-0.022674658108545857	-0.03528314801059964	-0.06447293898500132	-0.1019848433818943
2_0430_9746	0.21477983178817228	0.2717383739460794	0.020262323476316308	0.08732245282926115	-0.008004495927814869	0.23291272797803453	-0.016691772431291774	-0.07824333377172053	-0.05392398014166386	-0.06536348677409676
