sample	ko	taxon	taxon_abun	taxon_rel_abun	genome_function_count	taxon_function_abun	taxon_rel_function_abun	norm_taxon_function_contrib
1_0403_9699	K00929	0172d2b9ec8c0ea1a8f7c9789ae4b803	40637	0.05269912631733416	1	40637	0.05269912631733416	0.00734791150392872
1_0403_9699	K00929	0615226f208e49e29262dad2bae35c08	77464	0.10045734481004932	1	77464	0.10045734481004932	0.01400690544922939
1_0403_9699	K00929	0c7d1f89bd81138294da46f001b6710a	43177	0.05599306486708017	1	43177	0.05599306486708017	0.00780718987634743
1_0403_9699	K00929	1ea43c607013c6b4df5964bfd08807be	353032	0.45782114728107665	1	353032	0.45782114728107665	0.06383463085500816
1_0403_9699	K00929	2092cc518e136fe01873b6753ce64e3c	388589.5	0.5039330449120192	1	388589.5	0.5039330449120192	0.07026407602322791
1_0403_9699	K00929	2856b4a2f8c5cef6b9b4c4feeec67a7f	17779	0.02305627302202141	1	17779	0.02305627302202141	0.00321476778867408
1_0403_9699	K00929	2be73fff463e798921f0bf5e2fb3f615	137149	0.1778584165980772	1	137149	0.1778584165980772	0.02479904310978471
1_0403_9699	K00929	5842fb35cb0a50b6b15a8b6d267e2ba7	20318	0.02634891474556673	1	20318	0.02634891474556673	0.00367386534283593
1_0403_9699	K00929	5932d9202e3c58065680e72a65213186	45716	0.0592857065906255	1	45716	0.0592857065906255	0.00826628743050928
1_0403_9699	K00929	5a2f127b35756159c6067ad886b357be	15239	0.01976233447227539	1	15239	0.01976233447227539	0.00275548941625538
1_0403_9699	K00929	5e51f0b907125eb79cf09219ca4139e9	373351	0.4841713588528441	1	373351	0.4841713588528441	0.06750867701610096
1_0403_9699	K00929	63721fe5120f49d8481aa9194b09b54b	139689	0.1811523551478232	1	139689	0.1811523551478232	0.02525832148220341
1_0403_9699	K00929	63e95e04a0bed8f7b0828bef4267d3f1	15239	0.01976233447227539	1	15239	0.01976233447227539	0.00275548941625538
1_0403_9699	K00929	67ef0c6c1fb800803cd8a3bf5985488a	152388	0.19762075107035257	1	152388	0.19762075107035257	0.02755453252604009
1_0403_9699	K00929	7a61da82e043fc2e0252934cfc718753	25398	0.03293679184505876	1	25398	0.03293679184505876	0.00459242208767334
1_0403_9699	K00929	86e2c0621f63f15e551833709c6f3238	104132	0.13504110592998106	1	104132	0.13504110592998106	0.0188289667231121
1_0403_9699	K00929	87c73190cb6713a91b5de17d3ff4c3d4	12699	0.01646839592252938	1	12699	0.01646839592252938	0.00229621104383667
1_0403_9699	K00929	88ab9af7bd6d8a09c14a812cb2082a79	386050	0.5006397547753735	1	386050	0.5006397547753735	0.06980488805993763
1_0403_9699	K00929	8ba742f68eac37fe13c4b1904dbecfc1	22858	0.02964285329531275	1	22858	0.02964285329531275	0.00413314371525464
1_0403_9699	K00929	99d2a87b605975cc09a3a76246060920	25398	0.03293679184505876	1	25398	0.03293679184505876	0.00459242208767334
1_0403_9699	K00929	9da2594e4053ce39175868ea7d27d564	33017	0.04281731066809612	1	33017	0.04281731066809612	0.0059700763866726
1_0403_9699	K00929	bcaa663b6ba40455634757464f104af0	22858	0.02964285329531275	1	22858	0.02964285329531275	0.00413314371525464
1_0403_9699	K00929	be8b95457e0211cac08defa1e311b6f8	513039.5	0.6653230655875669	1	513039.5	0.6653230655875669	0.09276690808917595
1_0403_9699	K00929	c1b8287c24e782535ad8af8c18fa69a1	20318	0.02634891474556673	1	20318	0.02634891474556673	0.00367386534283593
1_0403_9699	K00929	c544ed46d118037e56fb14b964ddb15b	579074	0.7509583353368595	1	579074	0.7509583353368595	0.1047071512716496
1_0403_9699	K00929	cab1f3ff63df5a854dcf58cf595623cc	25398	0.03293679184505876	1	25398	0.03293679184505876	0.00459242208767334
1_0403_9699	K00929	d79519543ffab2d394dbea5b67b2f780	43177	0.05599306486708017	1	43177	0.05599306486708017	0.00780718987634743
1_0403_9699	K00929	e2bebd0eb850939e3ab5c3627bc5f261	55876	0.07246146078960956	1	55876	0.07246146078960956	0.01010340092018411
1_0403_9699	K00929	efe6d368dc9bc431d6aaaf795ab9df54	126990	0.16468395922529383	1	126990	0.16468395922529383	0.02296211043836674
1_0403_9699	K00929	f5db17dce08a55088ceecbd2ac34df49	17779	0.02305627302202141	1	17779	0.02305627302202141	0.00321476778867408
1_0403_9699	K00929	fd203e2f7d89f10e908a686f50ec9b37	76194	0.09881037553517628	1	76194	0.09881037553517628	0.01377726626302004
1_0403_9699	K00929	fd2a9303e201839ddc223b25b6df6bcd	76194	0.09881037553517628	1	76194	0.09881037553517628	0.01377726626302004
1_0403_9699	K00929	fe061b4d7bf9b15021415e593d330c30	35557	0.04611124921784212	1	35557	0.04611124921784212	0.00642935475909131
1_0403_9699	K00929	fe4c45af45a1ced6777398479ca5025b	1508641	1.9564451762312505	1	1508641	1.9564451762312505	0.2727898358441455
1_0403_9699	K01034	0c7d1f89bd81138294da46f001b6710a	43177	0.05599306486708017	1	43177	0.05599306486708017	0.08629497423762146
1_0403_9699	K01034	6e44ead3f2ba90c2d92aa0865aa62d2c	30478	0.03952466894455079	2	60956	0.07904933788910158	0.12182866919027384
1_0403_9699	K01034	7c324c9774c3c0884d1e7487b1427a49	96512	0.12515929028074302	1	96512	0.12515929028074302	0.19289206182970847
1_0403_9699	K01034	c6f55e9d793c7f85f694481b12c59cc3	60955	0.07904804106290089	1	60955	0.07904804106290089	0.12182667055733878
1_0403_9699	K01034	e23e4f0b8fa765d71339a609c9949645	30478	0.03952466894455079	1	30478	0.03952466894455079	0.06091433459513692
1_0403_9699	K01034	e2bebd0eb850939e3ab5c3627bc5f261	55876	0.07246146078960956	1	55876	0.07246146078960956	0.111675613880106
1_0403_9699	K01034	fd203e2f7d89f10e908a686f50ec9b37	76194	0.09881037553517628	1	76194	0.09881037553517628	0.15228383785490723
