asv	1_0403_9699	1_0410_9686	1_0410_9687	1_0410_9689	1_0410_9691	1_0410_9692	1_0410_9693	1_0410_9694	1_0410_9697	1_0410_9698	1_0410_9699	1_0415_9687	1_0415_9689	1_0415_9691	1_0415_9693	1_0415_9694	1_0415_9698	1_0415_9699	1_0415_9735	1_0415_9736	1_0415_9737	1_0418_9687	1_0418_9689	1_0418_9691	1_0418_9692	1_0418_9693	1_0418_9694	1_0418_9698	1_0418_9699	1_0418_9736	1_0418_9737	1_0421_9686	1_0421_9687	1_0421_9689	1_0421_9691	1_0421_9692	1_0421_9693	1_0421_9694	1_0421_9697	1_0421_9698	1_0421_9699	2_0425_9744	2_0425_9745	2_0425_9746	2_0425_9747	2_0425_9748	2_0425_9749	2_0425_9750	2_0425_9755	2_0425_9756	2_0425_9757	2_0425_9758	2_0430_9745	2_0430_9746	2_0430_9747	2_0430_9748	2_0430_9749	2_0430_9750	2_0430_9755	2_0430_9756	2_0430_9757	2_0430_9758	2_0503_9745	2_0503_9746	2_0503_9747	2_0503_9748	2_0503_9749	2_0503_9750	2_0503_9755	2_0503_9756	2_0503_9757	2_0503_9758	2_0506_9741	2_0506_9746	2_0506_9758	3_0523_9831	3_0523_9832	3_0523_9835	3_0523_9836	3_0523_9837	3_0523_9838	3_0523_9839	3_0523_9840	3_0523_9841	3_0523_9842	3_0523_9843	3_0523_9844	3_0523_9845	3_0523_9846	3_0523_9847	3_0523_9848	3_0523_9859	33.9831.0528	33.9832.0528	33.9833.0528	33.9834.0528	33.9835.0528	33.9836.0528	33.9837.0528	33.9838.0528	33.9839.0528	33.9840.0528	33.9841.0528	33.9842.0528	33.9843.0528	33.9844.0528	33.9845.0528	33.9846.0528	33.9847.0528	33.9848.0528	33.9849.0528	33.9857.0528	34.9831.0531	34.9832.0531	34.9834.0531	34.9835.0531	34.9836.0531	34.9837.0531	34.9838.0531	34.9839.0531	34.9840.0531	34.9841.0531	34.9843.0531	34.9844.0531	34.9845.0531	34.9846.0531	34.9847.0531	34.9848.0531	34.9849.0531	34.9851.0531	41.9871.0530	41.9872.0530	41.9873.0530	41.9874.0530	41.9876.0530	41.9877.0530	41.9878.0530	41.9880.0530	41.9881.0530	41.9882.0530	41.9883.0530	41.9884.0530	41.9887.0530	41.9888.0530	41.9889.0530	42.9871.0606	42.9872.0606	42.9873.0606	42.9874.0606	42.9875.0606	42.9876.0606	42.9877.0606	42.9878.0606	42.9879.0606	42.9880.0606	42.9881.0606	42.9882.0606	42.9883.0606	42.9884.0606	42.9885.0606	42.9886.0606	42.9887.0606	42.9888.0606	42.9889.0606	42.9890.0606	43.9871.0611	43.9872.0611	43.9873.0611	43.9874.0611	43.9875.0611	43.9876.0611	43.9877.0611	43.9878.0611	43.9879.0611	43.9880.0611	43.9881.0611	43.9882.0611	43.9883.0611	43.9884.0611	43.9885.0611	43.9886.0611	43.9887.0611	43.9888.0611	43.9889.0611	43.9890.0611	44.9871.0614	44.9872.0614	44.9873.0614	44.9874.0614	44.9875.0614	44.9876.0614	44.9877.0614	44.9878.0614	44.9879.0614	44.9880.0614	44.9881.0614	44.9882.0614	44.9883.0614	44.9884.0614	44.9885.0614	44.9886.0614	44.9887.0614	44.9888.0614	44.9889.0614	44.9890.0614	51.9939.0613	51.9940.0613	51.9942.0613	51.9943.0613	51.9946.0613	51.9947.0613	51.9948.0613	51.9949.0613	51.9951.0613	51.9953.0613	52.9941.0620	52.9942.0620	52.9944.0620	52.9945.0620	52.9946.0620	52.9947.0620	52.9948.0620	52.9949.0620	52.9950.0620	52.9951.0620	52.9952.0620	52.9953.0620	53.9940.0625	53.9942.0625	53.9943.0625	53.9944.0625	53.9945.0625	53.9946.0625	53.9947.0625	53.9948.0625	53.9949.0625	53.9950.0625	53.9951.0625	53.9952.0625	53.9953.0625	54.9939.0628	54.9940.0628	54.9941.0628	54.9942.0628	54.9944.0628	54.9945.0628	54.9946.0628	54.9947.0628	54.9948.0628	54.9949.0628	54.9950.0628	54.9951.0628	54.9952.0628	54.9953.0628	61.9970.0627	62.9966.0704	62.9967.0704	62.9968.0704	62.9969.0704	62.9970.0704	62.9972.0704	62.9973.0704	62.9974.0704	62.9975.0704	63.9966.0709	63.9967.0709	63.9968.0709	63.9969.0709	63.9970.0709	63.9971.0709	63.9972.0709	63.9973.0709	63.9974.0709	63.9975.0709	64.9966.0712	64.9967.0712	64.9968.0712	64.9969.0712	64.9970.0712	64.9971.0712	64.9972.0712	64.9973.0712	64.9974.0712	64.9975.0712	72.100.0808	72.101.0808	72.103.0808	72.105.0808	72.111.0808	72.112.0808	72.113.0808	72.99.0808	73.100.0813	73.101.0813	73.102.0813	73.103.0813	73.104.0813	73.105.0813	73.106.0813	73.107.0813	73.111.0813	73.112.0813	73.113.0813	73.98.0813	74.100.0816	74.101.0816	74.102.0816	74.103.0816	74.105.0816	74.106.0816	74.107.0816	74.108.0816	74.109.0816	74.110.0816	74.111.0816	74.113.0816	74.98.0816	74.99.0816	75.106.0819	75.108.0819	75.109.0819	75.113.0819	75.116.0819	75.99.0819	EW.LF.Fiber	EW.LF.Pure	EW.WD	EW.WD.Fiber	Mock_6	Mock20220615A	PCR Blank1
0020ee0be02a5a1a8a19558035b7ea17	20318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145131	81274	26479	7257	80812	10318	32868	40637	64906	95731	0	0	80427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68937	101592	41121	14327	0	31748	40213	32171	29880	9610	168715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
003282dc088aaf9cc542141231b22493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	711144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38097	40637	21075	24672	48487	28573	0	6773	28220	50796	7470	0	125579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19907	0	50796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0032bc100e214e41101e1d1d3014ba41	78734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34469	0	0	21491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
003d69a661b3c11596dc8012b3155f26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
004ca9d14962355f711fea88ca840425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0053a39694d7c11f7f85f1adcfc294ee	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	206	0	0	0	0	0	203	115	0	73	77	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8020	47168	0	0	0	76194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1231	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	331	0	0	265	462	307	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0073e6d76206d9027faae58015bb299a	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0098f1001e2269083cb80958987091ca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10159	11288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00bf113a8b842823106f3a361f48e94b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00d1baa0952a12043a6deb14d5fa95c8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
